id,lang,text,created
1.49E+18,en,"Ukrainian Situation Heats Up, Bitcoin and Other Cryptocurrencies Prices Fall!
https://t.co/Gw7nwhOVHb",2022-02-18 09:51:19+00:00
1.49E+18,en,"#Bitcoin  no bull run harassment still running like bearish.  JP. Morgan and other big companies trapped
to  steal investors money.
 elonmusk trapper, CZ binance stealer, this fellows
 don't have shame also. .  
  retweet for bull run....",2022-02-18 09:53:37+00:00
1.49E+18,es,#hot $holo 🚀🚀🚀🚀🚀🚀🚀🚀 #BTC #Bitcoin #altcoin #Binance #BNB,2022-02-18 09:53:36+00:00
1.49E+18,und,"@binance @Metamoonft 🚀🚀🚀
#metamoonnft #Bitcoin #Binance 
https://t.co/mQe4qwMrNa",2022-02-18 09:53:36+00:00
1.49E+18,en,"Santa Jones! In a fun story to round up today’s PNNPN - @macjones_10 gifted his entire offensive line Bitcoin for Christmas.

What do you think of today’s roundup? 

#nft #nftcollectors #nftnews #nftgram #nftinvestor #NFTs #nftdrop #nftcollectors #nftcollectibles #nftcollection https://t.co/ZrnanB5XBQ",2022-02-18 09:53:35+00:00
1.49E+18,und,:) https://t.co/sm82xeONZi,2022-02-18 09:53:34+00:00
1.49E+18,tr,"Kanada’da polis, aşı karşıtı kamyoncuların etrafını kuşattı - https://t.co/NXqzfbCKd9 - #sondakika #gundem #Bitcoin https://t.co/fPHImfwMt3",2022-02-18 09:53:34+00:00
1.49E+18,pt,"“O problema do mundo é que as pessoas inteligentes estão cheias de dúvidas, enquanto os estúpidos estão cheios de confiança” - Charles Bukowski

#Bitcoin: R$ 211.793 (-4,72%)
Dominância líquida BTC: 64,17%
Capitalização de mercado das criptos: R$ 10,13 T https://t.co/mCYX8wmejR",2022-02-18 09:53:33+00:00
1.49E+18,en,Make that 15 sec video saying bitcoin is real and u made some money and maybe you’ll get ur ig back maybe,2022-02-18 09:53:32+00:00
1.49E+18,nl,"#follo4folloback #Metaverse
#bitcoin #youtube #meme #viral #video #FYP #life #follobackforfolloback
Neem een kijkje bij super! #TikTok https://t.co/7E97dbaCFK",2022-02-18 09:53:32+00:00
1.49E+18,en,"RUSSIAN FIN. MIN. SILUANOV: THE GOVERNMENT WILL HANDLE THE CRYPTO DISPUTE WITH THE CENTRAL BANK.

#Ethereum #ETH #BTC #Bitcoin #Metaverse #PlayToEarn #cryptocurrency #web3 #XDOGE #MEGALAND #NFT #FCON",2022-02-18 09:53:31+00:00
1.49E+18,en,"@BluesparrowC @gate_io @BlueSparrowETH Web 3.0 is all about a more transparent and fairer network where everyone can participate without fearing a loss of privacy and security, Touch the web3 with #bluesparrow
#better_future
#ETH
#BlueSparrow
#BlueSparrowtoken
#bitcoin
#BestbitcoinToken
@BluesparrowC
@BlueSparrowETH16",2022-02-18 09:54:47+00:00
1.49E+18,en,Current #Bitcoin Price is $40929 #BTC #Crypto,2022-02-18 09:54:47+00:00
1.49E+18,en,"#bitcoin solves this. 
BITCOIN FUNDAMENTALS: Secure, Borderless, UNCONFISCATABLE https://t.co/wj58I0VHDW",2022-02-18 09:54:47+00:00
1.49E+18,es,"⁦@salomondrin⁩  tu que piensas sobre esto 

Bitcoin en 2013 111 dll 😭 

Cuanto te dría ahorra 🤑  https://t.co/xE8yZQmWwz",2022-02-18 09:54:47+00:00
1.49E+18,tr,Bitcoin sert düştü! Kripto para camiasında son durum ne? https://t.co/AmCT85IGe0 #Haber #Bitcoin #camiasında #Durum 18 Şubat 2022,2022-02-18 09:54:47+00:00
1.49E+18,en,Which bitcoin wallet is best in USA? https://t.co/PsIh4ROLJm,2022-02-18 09:54:47+00:00
1.49E+18,en,"@BluesparrowC @gate_io @BlueSparrowETH Web 3.0 is all about a more transparent and fairer network where everyone can participate without fearing a loss of privacy and security, Touch the web3 with #bluesparrow
#better_future
#ETH
#BlueSparrow
#BlueSparrowtoken
#bitcoin
#BestbitcoinToken
@BluesparrowC
@BlueSparrowETH15",2022-02-18 09:54:44+00:00
1.49E+18,ko,"부탁합니다. 바랍니다.
32yyeXCAqrxbKMvSDP9ymib64wJfB8GUbe

#Bitcoin",2022-02-18 09:54:44+00:00
1.49E+18,en,I was already getting excited to be able to tweet about how nicely #Bitcoin  is holding up vs. equities. But here we are and it didn't really hold up. Shows how important it is during these days to wait for it to play out... $BTC https://t.co/PrEuhCgnsM,2022-02-18 09:54:43+00:00
1.49E+18,en,"#Bitcoin is one of the biggest successes of our century. But I cant stop thinking that those engagement farmers or maxis, claiming ""#Satoshi is god, and all that matters is bitcoin"", they would turn into hypocrites and dump their bags if Satoshi was right in front of their face.",2022-02-18 09:54:42+00:00
1.49E+18,en,"@BluesparrowC @gate_io @BlueSparrowETH Web 3.0 is all about a more transparent and fairer network where everyone can participate without fearing a loss of privacy and security, Touch the web3 with #bluesparrow
#better_future
#ETH
#BlueSparrow
#BlueSparrowtoken
#bitcoin
#BestbitcoinToken
@BluesparrowC
@BlueSparrowETH48",2022-02-18 09:57:20+00:00
1.49E+18,en,"Why Bitcoin, Ethereum, and Dogecoin Plunged Today - Nasdaq https://t.co/oWsqYOHj7n",2022-02-18 09:57:20+00:00
1.49E+18,en,Here are the BTC price levels to watch with Bitcoin 'hanging on $40K cliff' - Cointelegraph https://t.co/Rbv8NARuAX,2022-02-18 09:57:19+00:00
1.49E+18,en,El Salvador's Bukele tells bitcoin-wary U.S. senators to stay out of internal affairs - Reuters https://t.co/TCosOUSrty,2022-02-18 09:57:18+00:00
1.49E+18,en,"[⭐️🔵 NEW LISTING⭐️]
[XPAD] BEING LISTED IN COINMARKETCAP [SUPERAPIV2]

More Info in bio

$AU #Bitcoin #AutoCrypto #crypto #cryptocurrecy #BNB #ToTheMoon #BSC #BSCGem #GEM #altcoin #token",2022-02-18 09:57:17+00:00
1.49E+18,en,"@BluesparrowC @gate_io @BlueSparrowETH Web 3.0 is all about a more transparent and fairer network where everyone can participate without fearing a loss of privacy and security, Touch the web3 with #bluesparrow
#better_future
#ETH
#BlueSparrow
#BlueSparrowtoken
#bitcoin
#BestbitcoinToken
@BluesparrowC
@BlueSparrowETH47",2022-02-18 09:57:16+00:00
1.49E+18,it,Bitcoin: Lite tra USA e El Salvador | Nayib Bukele su tutte le furie https://t.co/R77X2TX4pK,2022-02-18 09:57:16+00:00
1.49E+18,in,https://t.co/E0ogH7xGzW #dragonball #dragonballz #dragonballsuper #vegeta #goku #gohan #dbz #saiyan #supersaiyan #anime #sketch #dccomics $SHIB #SHIBARMY #btc #bitcoin #gym #finalfantasy #demonslayer #nezuko #tifa #ff7 #tanjiro 2022-02-18 16:57:15.809188,2022-02-18 09:57:16+00:00
1.49E+18,en,"@BluesparrowC @gate_io @BlueSparrowETH #bluesparrow is the real angel which supports children
#bluesparrow is a gem💎💎💎💎💎💎
#bluesparrow 
#bluesparrowtoken
#bluesparrowcommunity
@BlueSparrowETH
#crypto #bitcoin #btc https://t.co/2tUIAEghbP",2022-02-18 09:57:14+00:00
1.49E+18,en,@TimmerFidelity Wait you never addressed anything to do with the Bitcoin network all you did was compare diferent price charts. WTF,2022-02-18 09:57:13+00:00
